id,name,score
1,Alice,90
2,Bob,85
3,Charlie,95
4,AA,70
5,AB,75
6,AC,80
7,AD,65
8,AE,72
9,AF,68
10,AG,77
11,AH,83
12,AI,91
13,AJ,60
14,AK,74
15,AL,88
16,AM,55
17,AN,79
18,AO,66
19,AP,82
20,AQ,71
21,AR,69
22,AS,86
23,AT,73
24,AU,57
25,AV,78
26,Zara,100
27,AX,84
28,AY,76
29,AZ,62
30,BA,89
31,BB,67
32,BC,81
33,BD,58
34,BE,74
35,BF,70
36,BG,93
37,BH,64
38,BI,87
39,BJ,56
40,BK,79
41,BL,72
42,BM,85
43,BN,61
44,BO,78
45,BP,69
46,BQ,83
47,BR,75
48,BS,90
49,BT,63
50,BU,77
51,BV,88
52,BW,59
53,BX,82
54,BY,71
55,BZ,94
56,CA,66
57,CB,80
58,CC,73
59,CD,57
60,CE,86
61,CF,68
62,CG,92
63,Petra,100
64,CI,76
65,CJ,84
66,CK,61
67,CL,78
68,CM,70
69,CN,87
70,CO,55
71,Yolanda,54
72,CQ,83
73,CR,75
74,CS,91
75,CT,67
76,CU,79
77,CV,62
78,CW,85
79,CX,73
80,CY,58
81,CZ,88
82,DA,74
83,Kurt,100
84,DC,81
85,DD,66
86,DE,77
87,DF,60
88,DG,89
89,DH,72
90,DI,84
91,DJ,63
92,DK,78
93,DL,70
94,DM,86
95,DN,55
96,DO,82
97,DP,69
98,DQ,75
99,DR,91
100,DS,64
